Haul,Header,CruiseLocalID,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulHydrographicStationID,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance
Haul,Record,20159001,PEL,13,52G9-1,2015-10-04T07:03,75,V,61.7365,19.985666666666667,61.68116666666667,19.988666666666667,52G9,78,,117,6251,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,14,51H0-1,2015-10-04T11:27,135,V,61.43383333333333,20.074333333333332,61.4325,20.263833333333334,51H0,77,,127,12501,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,15,51H0-2,2015-10-04T16:47,30,V,61.3415,20.748333333333335,61.31766666666667,20.740333333333332,51H0,10,,82,2778,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,16,50H0-1,2015-10-04T20:44,28,V,60.92966666666667,20.631,60.936166666666665,20.589833333333335,50H0,17,,63,2420,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,17,50G9-1,2015-10-05T00:06,56,V,60.836166666666664,19.969166666666666,60.87766666666667,19.952666666666666,50G9,17,,88,4840,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,18,51G9-2,2015-10-05T03:27,45,V,61.032,19.939,61.068,19.940666666666665,51G9,15,,107,4167,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,19,50G9-2,2015-10-05T10:51,114,V,60.955666666666666,19.483833333333333,60.9155,19.360166666666668,50G9,80,,114,8797,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,20,49G9-1,2015-10-05T19:23,45,V,60.1115,19.040666666666667,60.08166666666666,19.053166666666666,49G9,17,,153,4167,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,21,48G9-1,2015-10-06T00:59,25,V,59.761,19.752166666666668,59.759,19.7895,48G9,18,,146,2161,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,22,47H0-1,2015-10-06T06:28,60,V,59.2535,20.564833333333333,59.267833333333336,20.6495,47H0,32,,84,5556,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,23,48H1-1,2015-10-06T10:46,62,V,59.521166666666666,21.1485,59.5415,21.2255,48H1,17,,88,4976,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,24,48H2-1,2015-10-06T16:43,22,V,59.533,22.161666666666665,59.538666666666664,22.192166666666665,48H2,22,,72,1766,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,25,48H2-2,2015-10-06T20:07,20,V,59.515166666666666,22.910833333333333,59.52,22.937333333333335,48H2,33,,80,1605,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,26,48H3-2,2015-10-06T23:09,11,V,59.53966666666667,23.4035,59.54066666666667,23.421,48H3,28,,94,1019,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,27,48H4-1,2015-10-07T02:42,11,V,59.709833333333336,24.067166666666665,59.717666666666666,24.072166666666668,48H4,13,,75,1087,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,28,49H6-1,2015-10-07T18:00,20,V,60.08566666666667,26.353666666666665,60.074,26.335,49H6,19,,68,1667,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,29,48H5-1,2015-10-07T21:01,17,V,59.9555,25.586333333333332,59.94316666666667,25.5785,48H5,22,,67,1417,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,30,49H5-1,2015-10-07T23:29,11,V,60.020833333333336,25.346333333333334,60.0135,25.3405,49H5,16,,57,951,16,3,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,20159001,PEL,4,51G8-1 (INVALID),2015-09-30T12:10,45,I,61.099666666666664,18.539,61.10666666666667,18.4875,51G8,10,,35,3056,16,3,,,,,,,,,,,,,,,,,,,,,,,,
