Catch,Header,CruiseLocalID,HaulGear,HaulNumber,CatchDataType,CatchSpeciesCode,CatchSpeciesValidity,CatchSpeciesCategory,CatchSpeciesCategoryNumber,CatchWeightUnit,CatchSpeciesCategoryWeight,CatchSpeciesSex,CatchSubsampledNumber,CatchSubsamplingFactor,CatchSubsampleWeight,CatchLengthCode,CatchLengthClass,CatchLengthType,CatchNumberAtLength,CatchWeightAtLength
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,200,1,2,97.6
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,205,1,1,55.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,210,1,1,57.0
Catch,Record,20159001,PEL,2,R,126417,1,1,322,kg,129.67878518200826,,322,1,129.67878518200826,halfcm,215,1,1,78.0
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,105,1,10,87.0
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,110,1,10,96.0
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,115,1,5,52.5
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,120,1,4,44.4
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,125,1,2,23.0
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,130,1,4,54.4
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,135,1,1,14.5
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,140,1,2,30.6
Catch,Record,20159001,PEL,2,R,126425,1,1,41,kg,1.9234456119659036,,41,1,1.9234456119659036,halfcm,145,1,3,47.1
Catch,Record,20159001,PEL,3,R,127186,1,1,1,kg,0.76,,1,1,0.76,cm,430,1,1,760.0
Catch,Record,20159001,PEL,3,R,126505,1,1,61,kg,0.5666163826076314,,61,1,0.5666163826076314,cm,40,1,4,
Catch,Record,20159001,PEL,3,R,126505,1,1,61,kg,0.5666163826076314,,61,1,0.5666163826076314,cm,50,1,10,
Catch,Record,20159001,PEL,3,R,126505,1,1,61,kg,0.5666163826076314,,61,1,0.5666163826076314,cm,60,1,38,
Catch,Record,20159001,PEL,3,R,126505,1,1,61,kg,0.5666163826076314,,61,1,0.5666163826076314,cm,70,1,8,
Catch,Record,20159001,PEL,3,R,126505,1,1,61,kg,0.5666163826076314,,61,1,0.5666163826076314,cm,80,1,1,
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,115,1,3,29.1
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,120,1,9,103.5
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,125,1,65,129.0
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,130,1,99,139.0
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,135,1,107,150.0
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,140,1,24,166.0
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,145,1,4,73.2
Catch,Record,20159001,PEL,3,R,126417,1,1,312,kg,136.4139591811756,,312,1,136.4139591811756,halfcm,150,1,1,20.5
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,105,1,7,57.4
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,110,1,8,76.0
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,115,1,4,40.0
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,125,1,1,12.0
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,130,1,2,26.0
Catch,Record,20159001,PEL,3,R,126425,1,1,24,kg,1.0395067470395642,,24,1,1.0395067470395642,halfcm,135,1,2,27.0
Catch,Record,20159001,PEL,5,R,127187,1,1,1,kg,2.823,,1,1,2.823,cm,600,1,1,2823.0
Catch,Record,20159001,PEL,5,R,126505,1,1,109,kg,392.315760311669,,109,1,392.315760311669,cm,30,1,2,
Catch,Record,20159001,PEL,5,R,126505,1,1,109,kg,392.315760311669,,109,1,392.315760311669,cm,40,1,5,
Catch,Record,20159001,PEL,5,R,126505,1,1,109,kg,392.315760311669,,109,1,392.315760311669,cm,50,1,28,
Catch,Record,20159001,PEL,5,R,126505,1,1,109,kg,392.315760311669,,109,1,392.315760311669,cm,60,1,69,
Catch,Record,20159001,PEL,5,R,126505,1,1,109,kg,392.315760311669,,109,1,392.315760311669,cm,70,1,5,
